DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished
31,OCO,Alpine,18.0,19.0,Retired,2023,Italian,14,Race,False
22,TSU,AlphaTauri,11.0,20.0,Did not start,2023,Italian,14,Race,False
55,SAI,Ferrari,1.0,1.0,Finished,2023,Singapore,15,Race,True
4,NOR,McLaren,4.0,2.0,Finished,2023,Singapore,15,Race,True
44,HAM,Mercedes,5.0,3.0,Finished,2023,Singapore,15,Race,True
16,LEC,Ferrari,3.0,4.0,Finished,2023,Singapore,15,Race,True
1,VER,Red Bull Racing,11.0,5.0,Finished,2023,Singapore,15,Race,True
10,GAS,Alpine,12.0,6.0,Finished,2023,Singapore,15,Race,True
81,PIA,McLaren,17.0,7.0,Finished,2023,Singapore,15,Race,True
11,PER,Red Bull Racing,13.0,8.0,Finished,2023,Singapore,15,Race,True
40,LAW,AlphaTauri,10.0,9.0,Finished,2023,Singapore,15,Race,True
20,MAG,Haas F1 Team,6.0,10.0,Finished,2023,Singapore,15,Race,True
23,ALB,Williams,14.0,11.0,Finished,2023,Singapore,15,Race,True
24,ZHO,Alfa Romeo,19.0,12.0,Finished,2023,Singapore,15,Race,True
27,HUL,Haas F1 Team,9.0,13.0,Finished,2023,Singapore,15,Race,True
2,SAR,Williams,18.0,14.0,Finished,2023,Singapore,15,Race,True
14,ALO,Aston Martin,7.0,15.0,Finished,2023,Singapore,15,Race,True
63,RUS,Mercedes,2.0,16.0,Retired,2023,Singapore,15,Race,False
77,BOT,Alfa Romeo,16.0,17.0,Retired,2023,Singapore,15,Race,False
31,OCO,Alpine,8.0,18.0,Retired,2023,Singapore,15,Race,False
22,TSU,AlphaTauri,15.0,19.0,Retired,2023,Singapore,15,Race,False
18,STR,Aston Martin,,,Withdrew,2023,Singapore,15,Race,False
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Japanese,16,Race,True
4,NOR,McLaren,3.0,2.0,Finished,2023,Japanese,16,Race,True
81,PIA,McLaren,2.0,3.0,Finished,2023,Japanese,16,Race,True
16,LEC,Ferrari,4.0,4.0,Finished,2023,Japanese,16,Race,True
44,HAM,Mercedes,7.0,5.0,Finished,2023,Japanese,16,Race,True
55,SAI,Ferrari,6.0,6.0,Finished,2023,Japanese,16,Race,True
63,RUS,Mercedes,8.0,7.0,Finished,2023,Japanese,16,Race,True
14,ALO,Aston Martin,10.0,8.0,Finished,2023,Japanese,16,Race,True
31,OCO,Alpine,14.0,9.0,Finished,2023,Japanese,16,Race,True
10,GAS,Alpine,12.0,10.0,Finished,2023,Japanese,16,Race,True
40,LAW,AlphaTauri,11.0,11.0,Lapped,2023,Japanese,16,Race,True
22,TSU,AlphaTauri,9.0,12.0,Lapped,2023,Japanese,16,Race,True
24,ZHO,Alfa Romeo,19.0,13.0,Lapped,2023,Japanese,16,Race,True
27,HUL,Haas F1 Team,18.0,14.0,Lapped,2023,Japanese,16,Race,True
20,MAG,Haas F1 Team,15.0,15.0,Lapped,2023,Japanese,16,Race,True
23,ALB,Williams,13.0,16.0,Retired,2023,Japanese,16,Race,False
2,SAR,Williams,20.0,17.0,Retired,2023,Japanese,16,Race,False
18,STR,Aston Martin,17.0,18.0,Retired,2023,Japanese,16,Race,False
11,PER,Red Bull Racing,5.0,19.0,Retired,2023,Japanese,16,Race,False
77,BOT,Alfa Romeo,16.0,20.0,Retired,2023,Japanese,16,Race,False
