Abbreviation,Year,RoundNumber,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag,Position
BOT,2023,9,13.333,14.2,0.0,71.028,81.13,88.902,23.619,26.106,24.608,12.667,13.2,0.0,22.42,25.36,24.15,Austrian,14.0,1.289,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,15.0
PIA,2023,9,11.333,12.8,0.0,70.996,80.631,88.661,23.008,24.198,23.165,9.333,11.6,0.0,21.92,25.98,24.35,Austrian,13.0,1.214,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,16.0
DEV,2023,9,14.667,16.4,0.2,71.053,81.301,89.275,19.646,23.646,106.713,15.333,14.6,0.0,21.87,25.37,23.9,Austrian,20.0,1.583,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,17.0
MAG,2023,9,18.0,15.4,0.2,71.682,81.309,88.918,24.827,32.939,30.466,16.667,16.8,0.2,22.61,27.95,26.91,Austrian,19.0,1.58,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,18.0
TSU,2023,9,13.667,12.4,0.0,71.108,81.023,88.702,23.531,27.091,24.801,16.333,15.0,0.0,21.87,25.37,23.9,Austrian,16.0,1.393,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,19.0
HUL,2023,9,15.667,15.8,0.0,71.475,80.914,88.749,19.288,26.301,25.362,16.667,16.6,0.0,22.61,27.95,26.91,Austrian,8.0,0.699,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,20.0
VER,2023,10,1.0,1.0,0.0,92.064,75.057,79.947,29.047,22.087,22.686,3.333,3.0,0.0,28.55,21.87,22.93,British,1.0,0.0,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,1.0
NOR,2023,10,11.333,12.0,0.0,92.323,76.03,80.929,28.468,24.232,25.159,11.0,12.2,0.0,28.54,23.96,24.61,British,2.0,0.241,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,2.0
HAM,2023,10,4.333,4.6,0.0,92.577,75.519,80.534,29.155,22.901,23.289,11.333,8.0,0.2,29.33,29.8,27.8,British,7.0,0.491,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,3.0
PIA,2023,10,13.333,13.8,0.0,92.421,76.379,81.321,28.609,23.247,23.573,7.333,9.2,0.0,28.54,23.96,24.61,British,3.0,0.372,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,4.0
RUS,2023,10,9.667,7.6,0.2,92.576,76.048,80.789,29.499,43.917,36.991,6.0,8.0,0.2,29.33,29.8,27.8,British,6.0,0.435,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,5.0
PER,2023,10,4.333,6.2,0.0,92.744,75.576,80.453,28.062,21.648,22.805,1.667,2.4,0.0,28.55,21.87,22.93,British,15.0,3.248,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,6.0
ALO,2023,10,4.667,3.8,0.0,92.967,75.666,80.343,28.624,22.318,48.091,7.667,6.4,0.0,28.62,22.47,35.55,British,9.0,0.939,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,7.0
ALB,2023,10,11.333,12.4,0.0,93.042,76.427,81.38,29.64,23.535,23.713,14.667,14.2,0.2,29.24,23.17,26.17,British,8.0,0.81,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,8.0
LEC,2023,10,5.667,6.0,0.0,92.732,75.671,80.645,28.507,22.376,22.824,4.333,5.6,0.0,28.62,22.9,23.33,British,4.0,0.416,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,9.0
